Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,60,26,127,257,0.6745,0.6977,0.3209,0.4396
AKRA,12,5,160,294,0.6497,0.7059,0.0698,0.127
APEX,47,13,152,259,0.6497,0.7833,0.2362,0.3629
ARII,84,35,158,193,0.5894,0.7059,0.3471,0.4654
BBRM,30,24,205,210,0.5117,0.5556,0.1277,0.2076
BULL,10,32,180,247,0.548,0.2381,0.0526,0.0862
BUMI,74,15,139,243,0.673,0.8315,0.3474,0.4901
DEWA,11,15,168,277,0.6115,0.4231,0.0615,0.1073
DOID,36,30,147,258,0.6242,0.5455,0.1967,0.2892
ELSA,27,12,172,258,0.6077,0.6923,0.1357,0.2269
ENRG,43,21,136,271,0.6667,0.6719,0.2402,0.3539
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,88,28,130,225,0.6645,0.7586,0.4037,0.5269
INDY,70,62,114,225,0.6263,0.5303,0.3804,0.443
INPS,19,6,166,278,0.6333,0.76,0.1027,0.181
ITMA,1,0,166,302,0.6461,1.0,0.006,0.0119
ITMG,89,48,99,235,0.6879,0.6496,0.4734,0.5477
KKGI,90,29,149,203,0.6221,0.7563,0.3766,0.5028
MBSS,4,7,179,279,0.6034,0.3636,0.0219,0.0412
MEDC,14,16,147,292,0.6525,0.4667,0.087,0.1466
PGAS,37,6,143,284,0.683,0.8605,0.2056,0.3318
PTBA,68,14,161,228,0.6285,0.8293,0.2969,0.4373
RUIS,51,17,163,238,0.6162,0.75,0.2383,0.3617
SOCI,59,28,168,216,0.5839,0.6782,0.2599,0.3758
TCPI,50,28,142,251,0.6391,0.641,0.2604,0.3704
TEBE,50,9,200,212,0.5563,0.8475,0.2,0.3236
TPMA,86,30,175,180,0.5648,0.7414,0.3295,0.4562
WINS,28,18,160,265,0.6221,0.6087,0.1489,0.2393
