Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,14,18,145,293,0.6532,0.4375,0.0881,0.1466
AKRA,8,6,161,296,0.6454,0.5714,0.0473,0.0874
APEX,42,15,154,260,0.6412,0.7368,0.2143,0.332
ARII,84,35,158,193,0.5894,0.7059,0.3471,0.4654
BULL,10,32,180,247,0.548,0.2381,0.0526,0.0862
BUMI,74,15,139,243,0.673,0.8315,0.3474,0.4901
DEWA,11,15,168,277,0.6115,0.4231,0.0615,0.1073
DOID,20,20,155,276,0.6285,0.5,0.1143,0.186
ELSA,27,12,172,258,0.6077,0.6923,0.1357,0.2269
ENRG,43,21,136,271,0.6667,0.6719,0.2402,0.3539
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,60,26,138,247,0.6518,0.6977,0.303,0.4225
INDY,70,62,114,225,0.6263,0.5303,0.3804,0.443
ITMA,1,0,166,302,0.6461,1.0,0.006,0.0119
ITMG,20,18,123,309,0.7,0.5263,0.1399,0.221
KKGI,64,22,158,227,0.6178,0.7442,0.2883,0.4156
MBSS,4,7,179,279,0.6034,0.3636,0.0219,0.0412
MEDC,14,16,147,292,0.6525,0.4667,0.087,0.1466
PGAS,25,12,146,287,0.6638,0.6757,0.1462,0.2404
PTBA,68,14,161,228,0.6285,0.8293,0.2969,0.4373
RUIS,46,16,167,240,0.6098,0.7419,0.216,0.3345
SOCI,22,32,184,232,0.5404,0.4074,0.1068,0.1692
TCPI,33,31,144,263,0.6285,0.5156,0.1864,0.2739
TEBE,55,8,200,208,0.5584,0.873,0.2157,0.3459
TPMA,86,30,175,180,0.5648,0.7414,0.3295,0.4562
WINS,108,38,125,200,0.6539,0.7397,0.4635,0.5699
