Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,60,26,127,257,0.6745,0.6977,0.3209,0.4396
AKRA,12,5,160,294,0.6497,0.7059,0.0698,0.127
APEX,52,11,152,256,0.6539,0.8254,0.2549,0.3895
ARII,83,35,158,194,0.5894,0.7034,0.3444,0.4624
BULL,28,31,174,237,0.5638,0.4746,0.1386,0.2146
BUMI,76,15,137,243,0.6773,0.8352,0.3568,0.5
DEWA,11,15,168,277,0.6115,0.4231,0.0615,0.1073
DOID,36,30,147,258,0.6242,0.5455,0.1967,0.2892
ELSA,33,13,169,255,0.6128,0.7174,0.1634,0.2661
ENRG,43,21,136,271,0.6667,0.6719,0.2402,0.3539
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,82,23,128,236,0.678,0.781,0.3905,0.5206
INDY,71,66,111,223,0.6242,0.5182,0.3901,0.4451
ITMA,1,0,166,302,0.6461,1.0,0.006,0.0119
ITMG,122,46,91,212,0.7091,0.7262,0.5728,0.6404
KKGI,90,29,149,203,0.6221,0.7563,0.3766,0.5028
MBSS,4,7,179,279,0.6034,0.3636,0.0219,0.0412
MEDC,14,16,147,292,0.6525,0.4667,0.087,0.1466
PGAS,37,6,143,284,0.683,0.8605,0.2056,0.3318
PTBA,80,20,155,216,0.6285,0.8,0.3404,0.4776
RUIS,51,17,163,238,0.6162,0.75,0.2383,0.3617
SOCI,62,30,167,212,0.5817,0.6739,0.2707,0.3863
TCPI,55,34,138,242,0.6333,0.618,0.285,0.3901
TEBE,41,11,200,218,0.5511,0.7885,0.1701,0.2799
TPMA,86,30,175,180,0.5648,0.7414,0.3295,0.4562
WINS,28,18,160,265,0.6221,0.6087,0.1489,0.2393
