Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,126,13,110,220,0.7377,0.9065,0.5339,0.672
AKRA,29,24,144,272,0.6418,0.5472,0.1676,0.2566
APEX,105,15,135,214,0.6802,0.875,0.4375,0.5833
ARII,188,49,100,134,0.6837,0.7932,0.6528,0.7162
BULL,112,42,142,175,0.6093,0.7273,0.4409,0.549
BUMI,76,15,137,243,0.6773,0.8352,0.3568,0.5
DEWA,38,32,149,252,0.6157,0.5429,0.2032,0.2957
DOID,81,26,129,233,0.6695,0.757,0.3857,0.511
ELSA,20,13,176,261,0.5979,0.6061,0.102,0.1747
ENRG,66,39,121,245,0.6603,0.6286,0.3529,0.4521
FIRE,10,3,191,265,0.5864,0.7692,0.0498,0.0935
HRUM,76,22,129,242,0.678,0.7755,0.3707,0.5017
INDY,259,19,63,129,0.8255,0.9317,0.8043,0.8633
ITMA,27,16,142,285,0.6638,0.6279,0.1598,0.2547
ITMG,175,22,84,188,0.774,0.8883,0.6757,0.7675
KKGI,97,25,149,200,0.6306,0.7951,0.3943,0.5272
MBSS,241,28,64,137,0.8043,0.8959,0.7902,0.8397
MEDC,97,26,120,228,0.69,0.7886,0.447,0.5706
PGAS,41,3,142,284,0.6915,0.9318,0.224,0.3612
PTBA,110,20,149,192,0.6412,0.8462,0.4247,0.5656
RUIS,56,26,155,234,0.6157,0.6829,0.2654,0.3823
SOCI,95,24,154,198,0.6221,0.7983,0.3815,0.5163
TCPI,76,47,125,222,0.634,0.6179,0.3781,0.4691
TEBE,34,7,205,223,0.548,0.8293,0.1423,0.2429
TPMA,133,26,165,145,0.5928,0.8365,0.4463,0.5821
WINS,129,22,118,202,0.7028,0.8543,0.5223,0.6482
