Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,186,192,189,2.9,32
Resistance,195,201,198,3.02,27
Resistance,205,211,208,2.95,23
Resistance,216,222,219,3.24,18
Resistance,231,238,234,3.61,16
Resistance,245,261,253,7.95,5
Resistance,278,292,285,7.02,3
Resistance,303,325,314,11.31,2
Support,62,63,62,0.71,2
Support,74,93,83,9.19,2
Support,102,113,107,5.45,4
Support,115,119,117,2.23,11
Support,123,127,125,2.14,12
Support,136,136,136,0.0,2
Support,160,160,160,0.0,1
Support,175,181,178,2.96,39
